beta,alpha,tvd
0.1,2.8909999208648673e-6,0.0005134113330710485
0.1,3.098496995377484e-6,0.000592884943424849
0.1,3.32088685339403e-6,0.0006779659982159387
0.1,3.5592384015533696e-6,0.0007686291950576795
0.1,3.814697265625e-6,0.0008847597773975191
0.1,4.08849129690664e-6,0.0010088552076076168
0.1,4.381936473835123e-6,0.0011636516545881033
0.1,4.6964432271763496e-6,0.0013291869049935328
0.1,5.033523219195911e-6,0.0015054129188875594
0.1,5.3947966093944364e-6,0.0016786153784101882
0.1,5.781999841729735e-6,0.0016786153784101882
0.1,6.196993990754968e-6,0.0016786153784101882
0.1,6.64177370678806e-6,0.0016786153784101882
0.1,7.118476803106739e-6,0.0016786153784101882
0.1,7.62939453125e-6,0.0016786153784101882
0.1,8.17698259381328e-6,0.0016786153784101882
0.1,8.763872947670246e-6,0.0016786153784101882
0.1,9.392886454352699e-6,0.0016786153784101882
0.1,1.0067046438391822e-5,0.0016786153784101882
0.1,1.0789593218788873e-5,0.0016786153784101882
0.1,1.156399968345947e-5,0.0016786153784101882
0.1,1.2393987981509936e-5,0.0016786153784101882
0.1,1.328354741357612e-5,0.0016786153784101882
0.1,1.4236953606213478e-5,0.0016786153784101882
0.1,1.52587890625e-5,0.0016786153784101882
0.1,1.635396518762654e-5,0.0016786153784101882
0.1,1.752774589534049e-5,0.0016786153784101882
0.1,1.8785772908705398e-5,0.0016786153784101882
0.1,2.013409287678367e-5,0.0016786153784101882
0.1,2.1579186437577746e-5,0.0016786153784101882
0.1,2.312799936691891e-5,0.0016786153784101882
0.1,2.478797596301987e-5,0.0016786153784101882
0.1,2.656709482715224e-5,0.0016786153784101882
0.1,2.847390721242699e-5,0.0016786153784101882
0.1,3.0517578125e-5,0.0016786153784101882
0.1,3.270793037525308e-5,0.0016786153784101882
0.1,3.505549179068098e-5,0.0016786153784101882
0.1,3.7571545817410796e-5,0.0016786153784101882
0.1,4.026818575356734e-5,0.0016786153784101882
0.1,4.315837287515549e-5,0.0016786153784101882
0.1,4.625599873383782e-5,0.0016786153784101882
0.1,4.957595192603974e-5,0.0016786153784101882
0.1,5.313418965430448e-5,0.0016786153784101882
0.1,5.694781442485398e-5,0.0016786153784101882
0.1,6.103515625e-5,0.0016786153784101882
0.1,6.541586075050616e-5,0.0016786153784101882
0.1,7.011098358136196e-5,0.0016786153784101882
0.1,7.514309163482159e-5,0.0016786153784101882
0.1,8.053637150713468e-5,0.0016786153784101882
0.1,8.631674575031098e-5,0.0016786153784101882
